Length of wire (m),Extension (m),Uncertainty (m),Mass (kg),Uncertainty (kg),,Force (N),Uncertainty (N),Extension (m),Uncertainty (m)
0.705,0,0.00005,0,0.0001,,0,0.0000001,0,0.00005
0.714,0.009,0.00005,0.05,0.0001,,0.4898,0.0000001,0.009,0.00005
0.719,0.014,0.00005,0.1,0.0001,,0.9796,0.0000001,0.014,0.00005
0.731,0.026,0.00005,0.15,0.0001,,1.4694,0.0000001,0.026,0.00005
0.734,0.029,0.00005,0.2,0.0001,,1.9592,0.0000001,0.029,0.00005
0.742,0.037,0.00005,0.25,0.0001,,2.449,0.0000001,0.037,0.00005
0.745,0.04,0.00005,0.3,0.0001,,2.9388,0.0000001,0.04,0.00005
0.748,0.043,0.00005,0.35,0.0001,,3.4286,0.0000001,0.043,0.00005
0.754,0.049,0.00005,0.4,0.0001,,3.9184,0.0000001,0.049,0.00005
0.757,0.052,0.00005,0.45,0.0001,,4.4082,0.0000001,0.052,0.00005
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,slope=,83.165,,,,,slope=,0.0117,
,,,,,,,,,
