t,x,y,v_y
8.00E-01,-1.14E-03,-3.43E-03,
8.33E-01,1.11E-16,-1.37E-02,-3.26E-01
8.67E-01,1.11E-16,-2.51E-02,-3.60E-01
9.00E-01,-1.14E-03,-3.77E-02,-3.94E-01
9.33E-01,-3.43E-03,-5.14E-02,-4.11E-01
9.67E-01,-2.29E-03,-6.51E-02,-4.97E-01
1.00E+00,-6.86E-03,-8.46E-02,-5.31E-01
1.03E+00,-6.86E-03,-1.01E-01,-5.31E-01
1.07E+00,-1.03E-02,-1.20E-01,-6.34E-01
1.10E+00,-1.03E-02,-1.43E-01,-5.83E-01
1.13E+00,-1.37E-02,-1.59E-01,-6.00E-01
1.17E+00,-1.37E-02,-1.83E-01,-6.00E-01
1.20E+00,-1.71E-02,-1.99E-01,-5.14E-01
1.23E+00,-1.71E-02,-2.17E-01,-6.00E-01
1.27E+00,-1.71E-02,-2.39E-01,-6.17E-01
1.30E+00,-1.71E-02,-2.58E-01,-6.00E-01
1.33E+00,-1.83E-02,-2.79E-01,-6.00E-01
1.37E+00,-1.71E-02,-2.98E-01,-6.00E-01
1.40E+00,-1.71E-02,-3.19E-01,-6.69E-01
1.43E+00,-1.71E-02,-3.43E-01,-6.17E-01
1.47E+00,-1.60E-02,-3.60E-01,-6.17E-01
1.50E+00,-1.49E-02,-3.84E-01,-7.03E-01
1.53E+00,-1.26E-02,-4.07E-01,-6.51E-01
1.57E+00,-9.14E-03,-4.27E-01,-6.34E-01
1.60E+00,-8.00E-03,-4.49E-01,-7.20E-01
1.63E+00,-6.86E-03,-4.75E-01,-7.03E-01
1.67E+00,-6.86E-03,-4.96E-01,-6.69E-01
1.70E+00,-5.71E-03,-5.20E-01,-7.03E-01
1.73E+00,-3.43E-03,-5.43E-01,-7.03E-01
1.77E+00,-2.29E-03,-5.67E-01,-6.86E-01
1.80E+00,-1.14E-03,-5.89E-01,-6.86E-01
1.83E+00,-1.14E-03,-6.13E-01,-6.86E-01
1.87E+00,1.14E-03,-6.34E-01,-6.34E-01
1.90E+00,2.29E-03,-6.55E-01,-7.20E-01
1.93E+00,3.43E-03,-6.82E-01,-6.86E-01
1.97E+00,3.43E-03,-7.01E-01,-6.17E-01
2.00E+00,3.43E-03,-7.23E-01,-6.69E-01
2.03E+00,5.71E-03,-7.45E-01,-6.34E-01
2.07E+00,8.00E-03,-7.66E-01,-6.51E-01
2.10E+00,9.14E-03,-7.89E-01,-6.86E-01
2.13E+00,9.14E-03,-8.11E-01,-7.03E-01
2.17E+00,9.14E-03,-8.35E-01,-6.86E-01
2.20E+00,9.14E-03,-8.57E-01,-8.06E-01
2.23E+00,1.26E-02,-8.89E-01,-8.23E-01
2.27E+00,1.37E-02,-9.12E-01,-6.51E-01
2.30E+00,1.60E-02,-9.33E-01,-6.69E-01
2.33E+00,1.60E-02,-9.57E-01,-6.86E-01
2.37E+00,1.71E-02,-9.78E-01,-7.20E-01
2.40E+00,1.94E-02,-1.00E+00,
