t,x,y,vy
1.33E+00,-2.74E-03,0.00E+00,
1.37E+00,1.11E-16,-1.37E-02,-3.70E-01
1.40E+00,1.11E-16,-2.47E-02,-3.29E-01
1.43E+00,1.11E-16,-3.56E-02,-3.29E-01
1.47E+00,1.11E-16,-4.66E-02,-4.52E-01
1.50E+00,1.11E-16,-6.58E-02,-4.11E-01
1.53E+00,-2.74E-03,-7.40E-02,-4.11E-01
1.57E+00,-2.74E-03,-9.32E-02,-5.34E-01
1.60E+00,1.11E-16,-1.10E-01,-5.34E-01
1.63E+00,1.11E-16,-1.29E-01,-5.75E-01
1.67E+00,1.11E-16,-1.48E-01,-6.16E-01
1.70E+00,2.74E-03,-1.70E-01,-5.75E-01
1.73E+00,2.74E-03,-1.86E-01,-6.58E-01
1.77E+00,2.74E-03,-2.14E-01,-7.40E-01
1.80E+00,1.11E-16,-2.36E-01,-6.58E-01
1.83E+00,1.11E-16,-2.58E-01,-6.58E-01
1.87E+00,2.74E-03,-2.79E-01,-8.22E-01
1.90E+00,1.11E-16,-3.12E-01,-8.63E-01
1.93E+00,1.11E-16,-3.37E-01,-6.58E-01
1.97E+00,1.11E-16,-3.56E-01,-6.99E-01
2.00E+00,-2.74E-03,-3.84E-01,-9.04E-01
2.03E+00,2.74E-03,-4.16E-01,-9.04E-01
2.07E+00,2.74E-03,-4.44E-01,-8.22E-01
2.10E+00,5.48E-03,-4.71E-01,-8.63E-01
2.13E+00,8.22E-03,-5.01E-01,-8.63E-01
2.17E+00,1.10E-02,-5.29E-01,-8.22E-01
2.20E+00,1.92E-02,-5.56E-01,-8.63E-01
2.23E+00,1.92E-02,-5.86E-01,-7.81E-01
2.27E+00,2.47E-02,-6.08E-01,-8.63E-01
2.30E+00,2.74E-02,-6.44E-01,-1.03E+00
2.33E+00,3.29E-02,-6.77E-01,-9.86E-01
2.37E+00,3.29E-02,-7.10E-01,-9.45E-01
2.40E+00,3.56E-02,-7.40E-01,-9.04E-01
2.43E+00,3.84E-02,-7.70E-01,-8.63E-01
2.47E+00,3.84E-02,-7.97E-01,-9.86E-01
2.50E+00,3.84E-02,-8.36E-01,-9.45E-01
2.53E+00,3.84E-02,-8.60E-01,-8.63E-01
2.57E+00,3.56E-02,-8.93E-01,-1.03E+00
2.60E+00,3.29E-02,-9.29E-01,-1.03E+00
2.63E+00,3.29E-02,-9.62E-01,-9.45E-01
2.67E+00,3.01E-02,-9.92E-01,
